,Unnamed: 0,braid,khovanov_homology,free_part,torsion_part,free_part_count,torsion_part_count,total_num_FP_per_row,total_num_FP_per_column
21,21,"[2, 1, 3, 1, 2, -2, 2, 2, 1]","{3: {0: Z}, 5: {0: Z, 1: 0, 2: 0, 3: 0}, 7: {0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0}, 9: {0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0, 6: 0}, 11: {0: 0, 1: 0, 2: 0, 3: Z, 4: Z, 5: 0, 6: 0, 7: 0}, 13: {2: 0, 3: 0, 4: 0, 5: C2, 6: 0, 7: 0}, 15: {3: 0, 4: 0, 5: Z, 6: 0, 7: 0}, 17: {5: 0, 6: 0, 7: 0}}","{(3, 0): 1, (5, 0): 1, (7, 2): 1, (11, 3): 1, (11, 4): 1, (15, 5): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",6,2,"{3: 1, 5: 1, 7: 1, 11: 2, 15: 1}","{0: 2, 2: 1, 3: 1, 4: 1, 5: 1}"
22,22,"[3, 1, -2, -2, -3, -2, -3, -1, 1]","{-11: {-5: 0, -4: 0, -3: 0}, -9: {-5: 0, -4: 0, -3: Z, -2: 0, -1: 0}, -7: {-5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, -1: {-3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, 1: {-1: 0, 0: 0, 1: 0, 2: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
25,25,"[-1, -2, 3, 2, -3, 2, 2, -3, -3]","{-9: {-5: 0, -4: 0, -3: 0, -2: 0}, -7: {-5: 0, -4: 0, -3: Z, -2: 0, -1: 0, 0: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z x C2, -1: 0, 0: 0, 1: 0, 2: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: Z, -1: Z x C2, 0: 0, 1: 0, 2: 0, 3: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: Z, 0: Z x Z x C2, 1: 0, 2: 0, 3: 0, 4: 0}, 1: {-3: 0, -2: 0, -1: 0, 0: Z x Z, 1: Z x C2, 2: 0, 3: 0, 4: 0}, 3: {-2: 0, -1: 0, 0: 0, 1: Z, 2: Z x C2, 3: 0, 4: 0}, 5: {0: 0, 1: 0, 2: Z, 3: C2, 4: 0}, 7: {2: 0, 3: Z, 4: 0}}","{(-7, -3): 1, (-5, -2): 1, (-3, -2): 1, (-3, -1): 1, (-1, -1): 1, (-1, 0): 2, (1, 0): 2, (1, 1): 1, (3, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}}",14,6,"{-7: 1, -5: 1, -3: 2, -1: 3, 1: 3, 3: 2, 5: 1, 7: 1}","{-3: 1, -2: 2, -1: 2, 0: 4, 1: 2, 2: 2, 3: 1}"
26,26,"[-3, 1, 2, 3, 2, 2, -2, 1, 2]","{1: {-1: 0, 0: Z}, 3: {-1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0}, 7: {-1: 0, 0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0}, 9: {0: 0, 1: 0, 2: 0, 3: Z, 4: 0, 5: 0, 6: 0}, 11: {2: 0, 3: 0, 4: 0, 5: 0, 6: 0}, 13: {3: 0, 4: 0, 5: 0, 6: 0}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
29,29,"[-3, 2, 2, -2, -1, 3, -3, 2, -1]","{-7: {-3: 0, -2: 0}, -5: {-3: 0, -2: Z, -1: 0, 0: 0}, -3: {-3: 0, -2: 0, -1: C2, 0: 0, 1: 0, 2: 0}, -1: {-3: 0, -2: 0, -1: Z, 0: Z, 1: 0, 2: 0}, 1: {-2: 0, -1: 0, 0: Z, 1: Z, 2: 0}, 3: {0: 0, 1: 0, 2: C2}, 5: {2: Z}}","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
33,33,"[-1, -1, -2, 3, 1, -2, -2, 2, -1]","{-13: {-5: Z}, -11: {-5: 0, -4: C2, -3: 0, -2: 0}, -9: {-5: 0, -4: Z, -3: Z, -2: 0, -1: 0}, -7: {-5: 0, -4: 0, -3: 0, -2: Z x C2, -1: 0, 0: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: C2, 0: 0, 1: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: 0, -1: Z, 0: Z, 1: 0, 2: 0}, -1: {-3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, 1: {-2: 0, -1: 0, 0: 0, 1: 0, 2: 0}}","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
34,34,"[2, -1, -3, -3, -1, 3, -1, 2, -2]","{-13: {-5: 0, -4: 0}, -11: {-5: 0, -4: 0, -3: 0}, -9: {-5: 0, -4: 0, -3: Z, -2: 0, -1: 0}, -7: {-5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, 1: {-1: 0, 0: 0, 1: 0, 2: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
36,36,"[2, 2, 2, -3, -1, 1, 1, -1, 3]","{1: {0: Z}, 3: {0: Z, 1: 0, 2: 0, 3: 0}, 5: {0: 0, 1: 0, 2: Z, 3: 0}, 7: {2: 0, 3: C2}, 9: {3: Z}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
37,37,"[-2, 3, -1, -1, -2, -1, -3, 1, -1]","{-13: {-6: 0, -5: 0, -4: 0, -3: 0}, -11: {-6: 0, -5: 0, -4: 0, -3: 0, -2: 0}, -9: {-6: 0, -5: 0, -4: 0, -3: Z, -2: 0, -1: 0, 0: 0}, -7: {-5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0, 1: 0}, -5: {-4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -3: {-3: 0, -2: 0, -1: 0, 0: Z, 1: 0}, -1: {0: Z, 1: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
39,39,"[1, 1, 2, -3, -1, 1, -1, -3, -3]","{-9: {-4: 0, -3: Z, -2: 0}, -7: {-4: 0, -3: 0, -2: C2, -1: 0}, -5: {-4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, 1: {-3: 0, -2: 0, -1: 0, 0: 0, 1: 0, 2: 0, 3: 0}, 3: {-2: 0, -1: 0, 0: 0, 1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
42,42,"[-1, 3, -3, -3, -1, 1, 3, -1, -1]","{-9: {-3: Z}, -7: {-3: 0, -2: C2}, -5: {-3: 0, -2: Z, -1: 0, 0: 0}, -3: {-3: 0, -2: 0, -1: 0, 0: Z}, -1: {0: Z}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
43,43,"[-2, -1, -1, 3, 2, -3, -1, -2, -2]","{-17: {-7: 0, -6: Z}, -15: {-7: 0, -6: 0, -5: Z x C2, -4: 0}, -13: {-7: 0, -6: 0, -5: Z, -4: C2, -3: 0, -2: 0}, -11: {-7: 0, -6: 0, -5: 0, -4: Z, -3: Z x Z, -2: 0, -1: 0}, -9: {-7: 0, -6: 0, -5: 0, -4: 0, -3: 0, -2: C2 x C2, -1: 0, 0: 0}, -7: {-7: 0, -6: 0, -5: 0, -4: 0, -3: 0, -2: Z x Z, -1: 0, 0: 0, 1: 0}, -5: {-6: 0, -5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, -1: {-2: 0, -1: 0, 0: 0, 1: 0, 2: 0}}","{(-17, -6): 1, (-15, -5): 1, (-13, -5): 1, (-11, -4): 1, (-11, -3): 2, (-7, -2): 2, (-5, 0): 1, (-3, 0): 1}","{(-15, -5): {2: 1}, (-13, -4): {2: 1}, (-9, -2): {2: 2}}",10,4,"{-17: 1, -15: 1, -13: 1, -11: 3, -7: 2, -5: 1, -3: 1}","{-6: 1, -5: 2, -4: 1, -3: 2, -2: 2, 0: 2}"
44,44,"[-3, 1, 1, 1, -2, 1, -3, 3, -2]","{-5: {-3: 0, -2: 0}, -3: {-3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -1: {-3: 0, -2: 0, -1: C2, 0: 0, 1: 0, 2: 0, 3: 0, 4: 0}, 1: {-3: 0, -2: 0, -1: Z, 0: Z x Z, 1: 0, 2: 0, 3: 0, 4: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: Z x C2, 2: 0, 3: 0, 4: 0}, 5: {0: 0, 1: Z, 2: Z x C2, 3: 0, 4: 0}, 7: {1: 0, 2: Z, 3: Z x C2, 4: 0}, 9: {3: Z, 4: C2}, 11: {4: Z}}","{(-3, -2): 1, (1, -1): 1, (1, 0): 2, (3, 0): 1, (3, 1): 1, (5, 1): 1, (5, 2): 1, (7, 2): 1, (7, 3): 1, (9, 3): 1, (11, 4): 1}","{(-1, -1): {2: 1}, (3, 1): {2: 1}, (5, 2): {2: 1}, (7, 3): {2: 1}, (9, 4): {2: 1}}",12,5,"{-3: 1, 1: 3, 3: 2, 5: 2, 7: 2, 9: 1, 11: 1}","{-2: 1, -1: 1, 0: 3, 1: 2, 2: 2, 3: 2, 4: 1}"
45,45,"[-2, -1, -3, -2, 1, 3, -2, 3, -2]","{-13: {-6: 0, -5: 0, -4: 0}, -11: {-6: 0, -5: 0, -4: 0, -3: 0}, -9: {-6: 0, -5: 0, -4: 0, -3: Z, -2: 0, -1: 0}, -7: {-6: 0, -5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0, 1: 0}, -5: {-6: 0, -5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0, 2: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, 1: {-1: 0, 0: 0, 1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
46,46,"[-3, -2, -2, -3, 1, -3, -3, -2, -3]","{-21: {-8: 0, -7: 0}, -19: {-8: 0, -7: 0, -6: 0, -5: 0}, -17: {-8: 0, -7: 0, -6: 0, -5: Z, -4: 0}, -15: {-8: 0, -7: 0, -6: 0, -5: Z, -4: 0, -3: 0}, -13: {-8: 0, -7: 0, -6: 0, -5: 0, -4: Z, -3: Z, -2: 0}, -11: {-8: 0, -7: 0, -6: 0, -5: 0, -4: Z, -3: 0, -2: C2, -1: 0, 0: 0}, -9: {-8: 0, -7: 0, -6: 0, -5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0}, -7: {-7: 0, -6: 0, -5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0}, -3: {0: 0, 1: 0}}","{(-17, -5): 1, (-15, -5): 1, (-13, -4): 1, (-13, -3): 1, (-11, -4): 1, (-9, -2): 1, (-7, 0): 1, (-5, 0): 1}","{(-11, -2): {2: 1}}",8,1,"{-17: 1, -15: 1, -13: 2, -11: 1, -9: 1, -7: 1, -5: 1}","{-5: 2, -4: 2, -3: 1, -2: 1, 0: 2}"
51,51,"[1, -1, -2, 3, 1, -2, 2, -2, 3]","{-5: {-2: Z}, -3: {-2: 0, -1: C2, 0: 0}, -1: {-2: 0, -1: Z, 0: Z, 1: 0, 2: 0}, 1: {-2: 0, -1: 0, 0: Z, 1: Z, 2: 0, 3: 0}, 3: {-2: 0, -1: 0, 0: 0, 1: 0, 2: C2, 3: 0}, 5: {0: 0, 1: 0, 2: Z, 3: 0}, 7: {2: 0, 3: 0}}","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
53,53,"[3, -2, -3, -2, 2, 2, 2, 3, 1]","{-1: {-2: 0, -1: 0, 0: 0, 1: 0}, 1: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0}, 7: {0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0}, 9: {1: 0, 2: 0, 3: Z, 4: 0, 5: 0}, 11: {3: 0, 4: 0, 5: 0}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
55,55,"[2, 1, 1, -3, 1, 3, -3, 2, -3]","{-3: {-2: Z}, -1: {-2: 0, -1: C2, 0: 0, 1: 0}, 1: {-2: 0, -1: Z, 0: Z x Z, 1: 0, 2: 0, 3: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: Z x Z x C2, 2: 0, 3: 0, 4: 0, 5: 0}, 5: {-2: 0, -1: 0, 0: 0, 1: Z, 2: Z x C2 x C2, 3: 0, 4: 0, 5: 0}, 7: {0: 0, 1: 0, 2: Z x Z, 3: Z x C2, 4: 0, 5: 0}, 9: {1: 0, 2: 0, 3: Z, 4: Z x C2, 5: 0}, 11: {3: 0, 4: Z, 5: C2}, 13: {5: Z}}","{(-3, -2): 1, (1, -1): 1, (1, 0): 2, (3, 0): 1, (3, 1): 2, (5, 1): 1, (5, 2): 1, (7, 2): 2, (7, 3): 1, (9, 3): 1, (9, 4): 1, (11, 4): 1, (13, 5): 1}","{(-1, -1): {2: 1}, (3, 1): {2: 1}, (5, 2): {2: 2}, (7, 3): {2: 1}, (9, 4): {2: 1}, (11, 5): {2: 1}}",16,7,"{-3: 1, 1: 3, 3: 3, 5: 2, 7: 3, 9: 2, 11: 1, 13: 1}","{-2: 1, -1: 1, 0: 3, 1: 3, 2: 3, 3: 2, 4: 2, 5: 1}"
56,56,"[3, 2, -2, 3, 1, -2, 3, -1, -1]","{-5: {-3: 0, -2: 0, -1: 0}, -3: {-3: 0, -2: 0, -1: 0, 0: 0, 1: 0, 2: 0}, -1: {-3: 0, -2: 0, -1: 0, 0: 0, 1: 0, 2: 0, 3: 0}, 1: {-3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0}, 7: {1: 0, 2: 0, 3: C2, 4: 0}, 9: {2: 0, 3: Z, 4: 0}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
